Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People
Spain,1990,10.5,8.4,1.4,80.44,73.36,76.81365854,0.195140335,38791473,29783.0,0.076743679
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Maldives,1990,43.162,9.915,6.397,59.085,60.473,59.79592683,3.137791747,209545,0.0,0.0
East Asia & Pacific (all income levels),1990,22.00525265,6.739574627,2.71549877,71.05695868,67.00530031,69.02251909,1.576918677,1791129188,909037.0,0.049972573
Oman,1990,39.99,5.798,7.462,68.611,64.81,66.66414634,3.614858451,1742950,2098.0,0.120370636
Tanzania,1990,44.351,14.874,6.273,52.405,49.167,50.7465122,3.096241032,24685791,0.0,0.0
Cabo Verde,1990,39.731,8.314,5.441,68.324,62.886,65.53868293,1.177294289,346209,0.0,0.0
Gabon,1990,37.307,11.176,5.491,62.68,59.531,61.06709756,2.738181889,921314,0.0,0.0
New Zealand,1990,17.5,8.2,2.12,78.0,71.8,74.82439024,0.480054396,3299200,28900.0,0.859906886
European Union,1990,12.4509796,10.37749052,1.667646405,78.28618686,71.36476854,74.73952088,0.332399782,476286726,2231581.0,0.468609861
Jamaica,1990,26.229,7.336,3.005,73.069,68.567,70.76309756,0.782030067,2374900,0.0,0.0
Albania,1990,25.732,5.616,3.023,74.978,69.122,71.97858537,2.687861989,3227943,0.0,0.0
United Arab Emirates,1990,26.967,2.893,4.566,72.72,70.178,71.418,5.906871942,1707085,24946.0,1.461321492
Guam,1990,26.138,4.718,3.053,74.173,69.548,71.80409756,2.25860308,127525,0.0,0.0
India,1990,31.239,10.708,3.961,58.587,57.923,58.24690244,2.081858188,851374699,0.0,0.0
Madagascar,1990,45.209,15.537,6.268,51.731,49.398,50.53604878,2.968895071,11205548,0.0,0.0
Lesotho,1990,35.772,10.7,5.004,60.152,57.449,58.76753659,1.628282547,1569936,0.0,0.0
OECD members,1990,15.42709207,8.632316185,1.957605892,77.96512668,71.21400544,74.50713432,0.813473763,1057923374,7014331.0,0.663586905
Upper middle income,1990,23.67586146,6.88921066,2.917781706,70.68958643,66.23482147,68.39075506,1.680333763,1881862990,123867.0,0.00653434
Pacific island small states,1990,33.20214817,7.697543555,4.402173228,65.1127035,61.74171605,63.38595208,1.230724212,1660523,0.0,0.0
Turkey,1990,26.813,8.433,3.183,67.494,60.263,63.79031707,1.78765385,53065801,15606.0,0.029408771
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Venezuela, RB",1990,29.28,4.901,3.524,73.863,68.049,70.88509756,2.577818863,19256060,3685.0,0.019136833
Bangladesh,1990,36.031,10.417,4.738,59.148,59.811,59.48758537,2.55786526,104779345,0.0,0.0
Solomon Islands,1990,40.402,11.24,5.961,56.746,56.027,56.37773171,2.773739387,303258,0.0,0.0
Lebanon,1990,25.152,6.903,3.09,71.559,68.377,69.92919512,0.300156926,2676615,0.0,0.0
Mongolia,1990,33.863,10.348,4.356,62.521,57.579,59.98973171,2.424991848,2141016,0.0,0.0
France,1990,13.6,9.4,1.79,80.6,72.3,76.34878049,0.534516155,58113622,178400.0,0.315304135
Syrian Arab Republic,1990,36.757,4.753,5.529,70.86,68.972,69.89297561,3.011181865,12088336,0.0,0.0
Rwanda,1990,48.735,29.082,7.541,38.729,35.201,36.92197561,2.495128769,7223798,0.0,0.0
Somalia,1990,48.101,19.586,7.341,47.21,44.157,45.64626829,1.089767813,6285456,0.0,0.0
Peru,1990,30.451,7.472,3.933,67.46,62.725,65.0347561,2.13259755,21325690,0.0,0.0
Vanuatu,1990,36.322,8.316,4.971,64.248,61.339,62.75802439,2.468403732,142852,0.0,0.0
Norway,1990,14.0,10.7,1.89,79.84,73.32,76.5004878,0.412807535,4226901,167651.0,3.973213143
Cote d'Ivoire,1990,41.966,13.505,6.486,54.993,50.765,52.82743902,3.428969007,11711125,0.0,0.0
Benin,1990,46.531,14.919,6.805,55.483,50.232,52.79346341,3.169160414,4836240,0.0,0.0
Other small states,1990,37.3696156,11.047423,5.072505661,60.82484671,56.77681844,58.74806974,2.812218782,12890706,0.0,0.0
Cuba,1990,17.164,6.887,1.785,76.551,72.787,74.62309756,1.029953077,10503898,0.0,0.0
Cameroon,1990,45.078,14.095,6.508,55.087,52.008,53.50995122,3.002568528,11716975,0.0,0.0
Low & middle income,1990,29.3803299,9.231817652,3.771178808,64.76270771,61.3691023,63.00518941,2.01525218,4058157584,141114.0,0.00346353
Togo,1990,43.183,12.203,6.452,57.183,54.374,55.7442439,2.890359417,3684782,0.0,0.0
China,1990,21.58,6.54,2.644,70.869,67.732,69.2622439,1.533169996,1118650000,9805.0,0.000855603
Dominican Republic,1990,30.35,6.418,3.537,69.944,65.041,67.43270732,2.065023683,7099011,2374.5,0.032773753
Germany,1990,11.2,11.5,1.42,78.293,71.83,74.98268293,0.773336991,78751283,163619.0,0.204468776
Ghana,1990,39.442,11.19,5.725,57.353,55.194,56.24717073,2.704947415,14233006,0.0,0.0
Tonga,1990,31.352,5.915,4.691,71.004,67.985,69.45768293,0.279478559,94952,0.0,0.0
Indonesia,1990,26.522,8.014,3.229,65.008,61.117,63.01504878,1.83799861,175460614,12928.0,0.007368035
Latin America & Caribbean (developing only),1990,27.4010754,6.891498986,3.331426667,71.02080972,64.54455483,67.70081977,1.944275806,414349572,14485.0,0.003556974
Colombia,1990,27.601,6.239,3.155,72.141,64.39,68.17097561,2.005030618,32657292,0.0,0.0
Libya,1990,29.733,5.367,5.263,69.972,66.53,68.20902439,2.393689493,4161093,0.0,0.0
Finland,1990,12.8,9.9,1.71,78.9,70.88,74.79219512,0.361018799,4964371,190031.0,3.82527312
Central African Republic,1990,41.311,18.304,5.826,49.124,44.116,46.55892683,1.998692653,2851604,0.0,0.0
North America,1990,16.24999787,8.650019329,1.989122206,78.68680085,71.92220077,75.22162201,1.033144134,274256841,3854867.0,1.380274112
Sweden,1990,13.7,10.8,2.01,80.8,74.8,77.72682927,0.667182921,8492964,349000.0,4.102872293
Vietnam,1990,29.336,6.42,3.684,74.753,65.822,70.17858537,2.360364819,64774000,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kenya,1990,43.278,9.857,6.231,61.324,57.512,59.3715122,3.455315184,22666720,0.0,0.0
"Korea, Dem. Rep.",1990,20.792,5.742,2.325,72.476,65.833,69.0734878,1.442234349,19895397,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mauritius,1990,20.8,6.8,2.23,73.05,65.385,69.12402439,0.773297654,1048921,0.0,0.0
Romania,1990,16.0,10.7,2.22,72.65,66.56,69.53073171,0.449148207,23161458,0.0,0.0
Angola,1990,52.718,23.532,7.182,43.139,39.134,41.08765854,2.550146788,10051133,0.0,0.0
Central Europe and the Baltics,1990,14.24731776,11.03901946,2.017623248,74.74483657,66.91959636,70.73196965,0.101950037,110801380,0.0,0.0
"Egypt, Arab Rep.",1990,32.202,8.697,4.522,66.544,61.813,64.12080488,2.190266602,55207254,3619.0,0.006555298
South Africa,1990,30.02,8.113,3.791,65.645,58.178,61.82043902,2.234222649,34490549,3980.0,0.011066456
St. Vincent and the Grenadines,1990,25.242,6.66,3.01,72.199,67.691,69.89002439,0.513076111,107081,0.0,0.0
Fiji,1990,29.259,6.356,3.427,67.366,63.418,65.34385366,0.227771956,724355,0.0,0.0
Caribbean small states,1990,24.53998053,7.599869288,2.811316239,71.55223964,66.14779818,68.78605484,0.671659696,5924801,0.0,0.0
Brunei Darussalam,1990,31.779,3.63,3.608,75.342,71.664,73.45814634,2.836732676,249743,886.0,0.344842349
Middle income,1990,27.78027168,8.547821453,3.524024115,66.1854719,62.59015463,64.32291852,1.928477734,3576545829,141114.0,0.00392783
Austria,1990,11.5,10.9,1.45,78.69,71.97,75.24804878,0.4505139,7619567,50721.0,0.664667026
High income: OECD,1990,13.58820941,8.872904381,1.754641819,79.02415366,72.28172485,75.57058213,0.665847983,910048933,6990225.0,0.768806964
Mozambique,1990,43.446,20.581,6.277,44.868,41.849,43.32168293,0.341696769,13394656,0.0,0.0
Uganda,1990,49.754,17.091,7.097,49.523,46.434,47.94082927,3.623594243,16922648,0.0,0.0
Japan,1990,10.2,6.4,1.57,81.84,75.94,78.81804878,0.40939466,123116000,489558.0,0.401833216
Niger,1990,55.065,23.0,7.764,43.685,43.196,43.43453659,2.961404576,7519642,0.0,0.0
United States,1990,16.4,8.8,2.014,78.5,71.7,75.01707317,0.944405555,246819000,3508944.0,1.39281703
Brazil,1990,24.982,7.149,2.917,69.932,62.488,66.11921951,1.801596055,147078659,0.0,0.0
Afghanistan,1990,50.527,16.931,7.682,48.695,46.775,47.71158537,1.817324896,11215323,0.0,0.0
Kuwait,1990,21.269,2.73,2.615,73.116,71.113,72.09007317,2.548041684,2059222,22500.0,1.092645669
Panama,1990,26.662,4.979,3.132,75.808,69.989,72.82753659,2.126884037,2434964,0.0,0.0
Mali,1990,47.86,20.381,7.076,45.948,46.052,46.00126829,1.457862273,7826368,0.0,0.0
Costa Rica,1990,27.749,4.243,3.254,77.882,73.275,75.52231707,2.593932603,3001196,0.0,0.0
Euro area,1990,11.63738733,9.909873208,1.525123808,79.37499568,72.41194881,75.80705004,0.427362399,306290456,783789.0,0.256065453
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Pakistan,1990,41.044,10.278,6.138,61.569,60.233,60.88470732,3.089867282,107865403,0.0,0.0
Nigeria,1990,44.354,18.402,6.537,47.228,45.123,46.14982927,2.616184901,93179760,0.0,0.0
Lower middle income,1990,32.31920786,10.38202616,4.254689688,61.18949196,58.5630903,59.82459456,2.205452624,1694682839,17247.0,0.0010163
Ecuador,1990,30.557,6.463,3.861,70.753,66.013,68.32519512,2.415541272,9886866,0.0,0.0
Australia,1990,14.9,7.3,1.838,79.92,73.66,76.71365854,1.69256678,16814400,94529.0,0.560966912
Algeria,1990,33.644,6.351,5.014,67.98,64.961,66.43368293,2.661189859,25576596,0.0,0.0
El Salvador,1990,32.252,7.905,4.047,70.426,59.454,64.80619512,1.332812928,5269378,0.0,0.0
Chile,1990,23.359,5.688,2.64,76.371,70.224,73.22253659,1.740162763,12981032,4886.0,0.037639534
Puerto Rico,1990,19.1,7.4,2.236,78.711,70.097,74.29895122,0.909864623,3505650,11600.0,0.33269872
Thailand,1990,19.702,5.612,2.179,73.282,67.238,70.18629268,1.58245842,55833321,39936.0,0.07152718
Haiti,1990,38.061,13.419,5.549,55.554,52.676,54.07990244,2.090683243,6965413,0.0,0.0
Belize,1990,36.462,5.419,4.584,73.507,69.243,71.323,2.463453435,183368,0.0,0.0
Fragile and conflict affected situations,1990,40.83314521,13.40171632,5.934491164,56.33024455,52.79959081,54.61735052,2.51038681,246364494,0.0,0.0
Sierra Leone,1990,44.677,25.407,6.601,38.435,37.622,38.01858537,2.139879518,3993016,0.0,0.0
Nepal,1990,38.397,12.948,5.239,54.681,53.831,54.24563415,2.322814077,17679536,0.0,0.0
East Asia & Pacific (developing only),1990,23.31976006,6.817787392,2.856060497,69.90992393,66.21962426,68.01004527,1.690377173,1575702423,102088.0,0.006361033
Denmark,1990,12.0,11.6,1.62,77.75,71.99,74.7997561,0.059987665,5132594,123792.0,2.413347807
Philippines,1990,33.432,6.706,4.397,67.784,62.376,65.01404878,2.587735246,60410438,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Morocco,1990,30.871,7.322,4.217,65.71,62.576,64.10478049,1.967618412,24211718,700.0,0.002891162
Namibia,1990,38.511,8.962,5.358,63.654,58.614,61.07253659,4.281800864,1360921,0.0,0.0
French Polynesia,1990,29.074,5.533,3.497,70.946,66.291,68.56173171,2.347558658,194249,0.0,0.0
Guinea-Bissau,1990,45.095,17.337,6.68,50.937,46.592,48.7115122,2.215624166,994816,0.0,0.0
Kiribati,1990,36.277,9.526,4.666,63.023,57.627,60.25919512,2.566840871,69490,0.0,0.0
Switzerland,1990,12.6,9.2,1.56,80.94,74.07,77.42121951,0.808536056,6646912,72735.0,1.099003546
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Yemen, Rep.",1990,52.402,11.92,8.805,58.917,55.883,57.363,4.119138474,11270427,0.0,0.0
Iraq,1990,37.918,6.581,5.965,71.54,63.345,67.34256098,2.402658397,17073500,0.0,0.0
Chad,1990,50.861,19.396,7.276,47.459,45.243,46.32397561,3.214349137,5764631,0.0,0.0
Uruguay,1990,18.267,9.818,2.523,76.157,68.752,72.36419512,0.645267038,3088980,0.0,0.0
Equatorial Guinea,1990,47.236,20.095,5.897,47.866,44.662,46.22492683,2.962978488,362355,0.0,0.0
"Korea, Rep.",1990,15.1,5.6,1.56,75.08,66.84,70.8595122,0.989093268,42449038,39718.0,0.093357413
Djibouti,1990,40.559,10.636,6.142,58.065,54.958,56.47360976,6.591678458,560124,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Low income,1990,41.2368788,14.30027972,5.7441163,54.42954442,52.150298,53.24090981,2.664308697,481611755,0.0,0.0
High income,1990,14.23749843,8.953847211,1.852388663,78.17270557,71.0789625,74.50858981,0.733363873,1131371895,7211957.0,0.647621117
Burundi,1990,50.569,18.152,7.564,49.531,46.129,47.7885122,3.141046649,5449339,0.0,0.0
Least developed countries: UN classification,1990,42.6958239,15.12362846,6.059236587,52.89658112,50.88056939,51.84522416,2.704480627,495529029,0.0,0.0
Cyprus,1990,19.347,7.03,2.43,78.453,74.355,76.35402439,1.95902264,751047,1348.0,0.179482775
Barbados,1990,16.165,9.844,1.75,72.981,68.399,70.63412195,0.366709718,258443,0.0,0.0
Qatar,1990,23.499,2.185,4.163,75.846,74.409,75.10997561,3.938078505,463079,3387.555556,0.710899203
Italy,1990,9.9,9.4,1.33,80.2,73.64,76.84,0.075009005,56671781,66070.0,0.116270531
Bhutan,1990,38.933,13.93,5.829,51.542,51.803,51.67568293,2.333447168,529519,0.0,0.0
Sudan,1990,41.879,12.141,6.214,56.864,53.903,55.34739024,3.229897175,19295483,0.0,0.0
Sub-Saharan Africa (developing only),1990,44.36729165,16.21486105,6.420107129,51.53225683,48.42985961,49.94149205,2.845293651,492985441,3980.0,0.000803616
Singapore,1990,17.5,4.9,1.754,77.801,73.549,75.62314634,2.935990701,2930900,26295.0,0.893282698
Malta,1990,15.9,7.4,2.1,77.403,72.634,74.96034146,0.973294582,350722,0.0,0.0
Netherlands,1990,12.7,8.7,1.55,79.92,73.7,76.73414634,0.599907213,14848907,56000.0,0.37855502
Suriname,1990,24.17,7.11,2.823,70.868,64.132,67.41785366,1.705398542,400251,0.0,0.0
Middle East & North Africa (developing only),1990,34.48904728,7.713331122,5.041866743,66.82857931,62.14735491,64.4339349,2.623296525,218778621,4955.0,0.002263367
"Iran, Islamic Rep.",1990,35.216,8.227,5.152,65.272,58.88,61.99804878,3.120412727,54938264,0.0,0.0
Israel,1990,22.3,7.1,2.886,78.1,74.6,76.30731707,1.696469257,4518000,4860431.583,6.652009572
Malaysia,1990,28.444,4.92,3.546,72.364,68.764,70.52009756,2.893613963,17707064,39419.0,0.222617369
Iceland,1990,18.0,7.0,2.19,80.2,76.18,78.14097561,1.238396064,252852,7893.0,3.129423239
Zambia,1990,43.915,18.281,6.537,45.771,43.621,44.66978049,2.656060651,7646911,0.0,0.0
Sub-Saharan Africa (all income levels),1990,44.36939866,16.21771095,6.419692432,51.52963207,48.42702087,49.93876191,2.845412463,493347796,3980.0,0.000803029
Senegal,1990,44.01,11.665,6.734,58.422,55.257,56.80090244,3.107055821,7285204,0.0,0.0
Papua New Guinea,1990,35.142,10.613,4.861,58.235,52.743,55.42202439,2.423557223,4057467,0.0,0.0
Malawi,1990,50.891,18.479,7.148,48.172,45.859,46.98729268,5.071226571,9105429,0.0,0.0
Zimbabwe,1990,38.084,8.981,5.365,61.979,58.167,60.0265122,3.129832739,10167392,0.0,0.0
Jordan,1990,34.786,5.267,5.734,71.091,68.292,69.65736585,3.597989698,3056000,0.0,0.0
Poland,1990,14.9,10.1,2.08,75.5,66.8,71.04390244,0.361655505,37961529,0.0,0.0
Mauritania,1990,40.9,10.665,6.023,59.474,56.892,58.1515122,2.711708844,1969295,0.0,0.0
Small states,1990,33.35051546,9.792946348,4.332392711,64.24366594,59.86490302,61.99784185,2.05503328,20476030,0.0,0.0
New Caledonia,1990,25.0,5.9,3.143333333,73.4,67.43333333,70.34390244,2.772552635,164200,0.0,0.0
Trinidad and Tobago,1990,21.905,7.568,2.574,70.842,65.159,67.93119512,0.722347224,1213625,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Honduras,1990,38.863,6.922,5.236,68.507,63.992,66.19443902,2.88120119,4766961,0.0,0.0
Myanmar,1990,27.721,10.357,3.566,60.652,56.13,58.33585366,1.684016497,41445433,0.0,0.0
Mexico,1990,28.558,5.519,3.468,73.506,67.445,70.40158537,2.026382434,84326921,8500.0,0.010079818
Tunisia,1990,27.976,6.114,3.714,70.265,66.253,68.21007317,1.27812817,7958694,636.0,0.008001798
Nicaragua,1990,37.475,7.812,4.865,66.5,60.39,63.3704878,2.148345411,4045623,0.0,0.0
"Congo, Dem. Rep.",1990,48.13,18.049,7.077,48.844,46.0,47.38731707,3.15880316,33727905,0.0,0.0
Comoros,1990,38.842,11.926,5.735,57.354,53.434,55.34619512,2.51505565,402707,0.0,0.0
United Kingdom,1990,13.6,11.5,1.79,78.4,72.9,75.58292683,0.26031145,57076711,975000.0,1.708755296
"Gambia, The",1990,47.739,14.63,6.123,53.235,50.649,51.91046341,4.418520313,881146,0.0,0.0
High income: nonOECD,1990,16.91005804,9.286946141,2.323723808,74.36421672,65.55170014,70.1343357,1.011934164,221322962,221732.0,0.108491521
Greece,1990,10.1,9.2,1.4,79.3,74.2,76.68780488,0.52185098,10089498,0.0,0.0
Paraguay,1990,34.086,6.477,4.637,70.145,65.649,67.84217073,2.695471954,4139286,0.0,0.0
Botswana,1990,35.639,6.989,4.863,65.766,60.953,63.30080488,3.041684905,1343440,0.0,0.0
Heavily indebted poor countries (HIPC),1990,45.69001561,16.54578068,6.681783514,50.9898954,48.18410609,49.5522355,2.881991918,343518651,0.0,0.0
Canada,1991,15.0,7.3,1.83,80.65,74.26,77.37707317,1.493593109,27791000,583766.0,2.110674786
Sao Tome and Principe,1991,37.176,9.747,5.395,63.643,59.989,61.77143902,2.368647468,117395,0.0,0.0
Lao PDR,1991,42.867,13.342,6.152,55.356,52.942,54.11956098,2.911147598,4244520,0.0,0.0
Arab World,1991,34.61394859,7.831514213,5.101959376,66.46440118,62.89130239,64.62899387,3.541847062,221488293,88618.0,0.038825634
Latin America & Caribbean (all income levels),1991,26.60597138,6.760054999,3.209323217,71.65396585,65.12991971,68.30996493,1.883689725,444190971,125486.0,0.028255939
Cambodia,1991,42.273,12.374,5.623,57.441,52.193,54.753,3.239091104,9057339,0.0,0.0
Ethiopia,1991,47.489,18.221,7.246,48.375,45.583,46.94495122,3.403085938,48042755,0.0,0.0
Aruba,1991,19.571,7.061,2.249,75.932,70.969,73.38997561,1.812032044,62148,0.0,0.0
Sri Lanka,1991,20.621,6.499,2.483,73.229,66.299,69.6794878,1.122943242,17015000,1010.0,0.00583007
Swaziland,1991,43.31,9.587,5.744,60.975,57.793,59.34519512,3.412148774,862728,0.0,0.0
South Asia,1991,32.22713501,10.48782608,4.168169009,59.38145191,58.51308198,58.93532101,2.20608043,1134976416,3010.0,0.000265132
Argentina,1991,21.72,8.271,2.989,75.191,68.07,71.54365854,1.402801086,32624874,12000.0,0.036781751
Bolivia,1991,36.652,10.486,4.913,60.539,57.102,58.77858537,2.358880647,6794046,0.0,0.0
"Bahamas, The",1991,23.823,5.495,2.639,74.152,67.277,70.63065854,1.761159725,256338,1922.0,0.749791291
Burkina Faso,1991,47.417,17.005,7.007,50.516,48.27,49.36560976,2.659116917,8811033,0.0,0.0
Bahrain,1991,29.27,3.387,3.738,73.652,71.417,72.5072439,3.030057229,495944,5147.0,1.037818786
Saudi Arabia,1991,35.702,5.135,5.844,70.914,67.468,69.14897561,3.395194272,16206078,14851.0,0.091638458
Middle East & North Africa (all income levels),1991,33.07890928,7.081287286,4.840332296,67.88260376,63.94711181,65.86173703,3.38983226,254096959,103858.0,0.040852033
Guatemala,1991,39.17,8.701,5.58,65.224,59.395,62.23841463,2.29936696,8890329,293.0,0.003295716
Guinea,1991,46.372,17.083,6.579,50.891,48.993,49.91885366,4.575644718,6020113,0.0,0.0
World,1991,25.67890663,9.144698798,3.271361498,67.94317938,63.5577683,65.69764594,1.719607093,5278768996,11210115.0,0.211158591
St. Lucia,1991,28.253,6.409,3.398,73.488,68.727,71.04943902,1.624058983,138180,0.0,0.0
"Congo, Rep.",1991,38.296,12.237,5.347,56.829,53.605,55.17768293,2.670144055,2383283,0.0,0.0
Spain,1991,10.3,8.6,1.36,80.51,73.34,76.83756098,0.151881923,38850435,54700.0,0.140678283
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Maldives,1991,41.321,9.388,6.099,60.089,61.095,60.60426829,2.968690332,215859,0.0,0.0
East Asia & Pacific (all income levels),1991,21.55478183,6.80870728,2.604779615,71.29640823,67.21613083,69.24716873,1.498706245,1817972953,1646510.0,0.088997627
Oman,1991,38.035,5.47,7.164,69.232,65.397,67.26773171,3.780466978,1810103,2730.0,0.150820147
Tanzania,1991,44.026,14.973,6.213,52.086,48.918,50.46336585,3.185493041,25484814,0.0,0.0
Cabo Verde,1991,38.929,8.12,5.307,68.893,63.023,65.88641463,1.647489384,351960,0.0,0.0
Gabon,1991,37.047,11.009,5.421,62.885,59.769,61.289,2.718451011,946703,0.0,0.0
New Zealand,1991,17.5,8.1,2.18,78.4,72.5,75.37804878,0.923222729,3329800,54100.0,1.592120973
European Union,1991,12.36381958,10.43041128,1.658662733,78.44668236,71.44598046,74.85920231,0.327154824,477844921,3091744.0,0.647271896
Jamaica,1991,25.2,6.0,2.948,73.06,68.362,70.65370732,0.633803461,2390000,0.0,0.0
Albania,1991,25.225,5.705,2.97,74.989,69.07,71.95731707,1.799085593,3286542,0.0,0.0
United Arab Emirates,1991,25.892,2.769,4.388,72.996,70.506,71.72063415,5.660292696,1806498,33578.0,1.858734413
Guam,1991,25.615,4.708,3.013,74.413,69.788,72.04409756,2.292286241,130482,0.0,0.0
India,1991,30.69,10.552,3.878,58.962,58.117,58.52919512,2.036500458,868890700,0.0,0.0
Madagascar,1991,45.292,15.24,6.258,52.243,49.832,51.00809756,2.991116267,11545782,0.0,0.0
Lesotho,1991,35.236,10.354,4.919,60.755,57.975,59.33109756,1.74263361,1597534,0.0,0.0
OECD members,1991,15.4681312,8.609200107,1.970624262,78.17851438,71.36272523,74.68707478,0.861328261,1067035567,10599076.0,0.990565695
Upper middle income,1991,23.07279224,6.910371184,2.79198178,70.95312473,66.52475527,68.66709351,1.587087379,1911729800,302339.0,0.015617576
Pacific island small states,1991,32.76957482,7.598047911,4.357434796,65.3827261,61.98700392,63.69356484,1.3906462,1683615,0.0,0.0
Turkey,1991,26.045,8.213,3.078,68.027,60.716,64.28234146,1.735146237,53994605,31809.0,0.058911441
Virgin Islands (U.S.),1991,21.4,4.625,2.954,78.736,71.028,74.788,0.930607838,103963,0.0,0.0
"Venezuela, RB",1991,28.649,4.862,3.448,74.08,68.277,71.10773171,2.486103445,19740786,7422.0,0.037597287
Bangladesh,1991,35.119,10.066,4.55,59.715,60.288,60.0084878,2.457173223,107385847,0.0,0.0
Solomon Islands,1991,39.996,11.002,5.851,57.072,56.355,56.7047561,2.793516795,311849,0.0,0.0
Lebanon,1991,24.621,6.826,3.002,71.811,68.707,70.22114634,0.981636001,2703019,0.0,0.0
Mongolia,1991,32.226,10.058,4.052,62.86,57.804,60.27034146,1.995037471,2184159,0.0,0.0
France,1991,13.4,9.3,1.77,80.8,72.6,76.6,0.507335171,58409202,283200.0,0.498190672
Syrian Arab Republic,1991,35.748,4.592,5.313,71.229,69.336,70.25941463,2.960320898,12451539,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Somalia,1991,48.453,19.821,7.397,46.95,43.903,45.38934146,0.573632038,6321615,0.0,0.0
Peru,1991,29.91,7.284,3.828,67.969,63.208,65.53043902,2.07138989,21772035,1650.0,0.007578529
